,Unnamed: 0,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type
0,1610665,True,False,485.0,1.0,40.0,True,False,False,False,0.0,False,0.0,,,2.0,False,"
Excellentétat
",4020,Studio
1,2718948,True,False,790.0,2.0,140.0,True,False,False,False,0.0,False,0.0,,,2.0,False,"
Bon
",3200,Appartement
2,3229637,True,False,900.0,3.0,103.0,,False,False,False,0.0,True,330.0,400.0,400.0,3.0,False,"
Bon
",7020,Maison
3,3860205,True,False,520.0,2.0,50.0,True,False,False,False,0.0,False,0.0,,,2.0,False,"
Bon
",6900,Appartement
4,4141598,True,False,760.0,1.0,55.0,True,,False,True,30.0,True,10000.0,,,2.0,False,,1470,Appartement
5,4956445,True,False,640.0,1.0,,True,True,False,False,0.0,False,0.0,,,4.0,False,"
Bon
",3200,Appartement
6,5123126,True,False,660.0,2.0,95.0,True,False,False,False,0.0,False,0.0,,,2.0,False,"
Excellentétat
",4920,Appartement
7,5360484,True,False,925.0,2.0,100.0,True,False,False,True,,False,0.0,,,3.0,False,"
Fraîchementrénové
",1853,Appartement
8,5701118,True,False,900.0,3.0,170.0,True,False,False,False,0.0,False,0.0,50.0,50.0,2.0,False,"
Bon
",1400,Maison
9,6135359,True,False,1050.0,1.0,,True,True,False,False,0.0,False,0.0,,,,False,"
Excellentétat
",2060,Appartement
10,6406100,True,False,1300.0,2.0,,,True,False,True,,False,0.0,,,,False,"
Excellentétat
",2060,Appartement
11,6406184,True,False,1200.0,2.0,,True,True,False,True,,False,0.0,,,,False,"
Excellentétat
",2060,Appartement
12,6409705,True,False,1450.0,2.0,,True,True,False,True,,False,0.0,,,,False,,2060,Appartement
13,6431772,True,False,1150.0,1.0,,,True,False,False,0.0,False,0.0,,,,False,"
Excellentétat
",2060,Appartement
14,6431847,True,False,1650.0,2.0,84.0,,True,False,True,,False,0.0,,,,False,"
Excellentétat
",2060,Appartement
15,6431856,True,False,1650.0,2.0,84.0,True,True,False,True,,False,0.0,,,,False,"
Excellentétat
",2060,Appartement
16,6456317,True,False,1050.0,2.0,,True,True,False,True,,False,0.0,,,,False,,2060,Appartement
17,6787654,True,False,860.0,2.0,95.0,True,False,False,True,6.0,False,0.0,,,2.0,False,"
Excellentétat
",6061,Appartement
18,6817478,True,False,1200.0,2.0,,,True,False,True,,False,0.0,,,,False,"
Bon
",2060,Appartement
19,6847605,True,False,365.0,,,,True,False,False,0.0,False,0.0,,,,False,"
Excellentétat
",8000,Logementétudiant
